Ano,Sigla da Unidade da Federação,Soma Produto Interno Bruto,Soma Produto Interno Bruto per capita
2020,PB,18578.0,111186.0
2020,PE,29945.0,93945.0
2020,AL,12504.0,52982.0
2020,SE,8879.0,38393.0
2020,BA,46717.0,200114.0
2020,MG,85490.0,414220.0
2020,ES,13189.0,36740.0
2020,RJ,32332.0,40580.0
2020,SP,105869.0,311542.0
2020,PR,41098.0,199826.0
2020,SC,28744.0,147583.0
2020,RS,46249.0,243181.0
2020,MS,11896.0,37498.0
2020,MT,17004.0,71824.0
2020,GO,24966.0,123231.0
2020,DF,116.0,547.0
2021,RO,7944.0,27630.0
2021,AC,4327.0,13847.0
2021,AM,11184.0,28677.0
2021,RR,2999.0,5962.0
2021,PA,30599.0,72370.0
2021,AP,3028.0,8735.0
2021,TO,9769.0,62133.0
2021,MA,25274.0,105088.0
2021,PI,14322.0,108545.0
2021,CE,26364.0,95819.0
2021,RN,17891.0,74555.0
2021,PB,20190.0,109272.0
2021,PE,31355.0,90004.0
2021,AL,11857.0,56255.0
2021,SE,10484.0,37610.0
2021,BA,50425.0,203632.0
2021,MG,93794.0,412368.0
2021,ES,13252.0,42923.0
2021,RJ,30289.0,39692.0
2021,SP,106627.0,325904.0
2021,PR,38804.0,188326.0
2021,SC,30976.0,144970.0
2021,RS,51330.0,244869.0
2021,MS,14140.0,34625.0
2021,MT,22639.0,62029.0
2021,GO,27329.0,120389.0
2021,DF,127.0,696.0
