ano,sigla_uf,tipo_consumo,consumo
2008,SC,Residencial,3854283.0
2008,SC,Total,17582089.0
2008,SE,Cativo,1982857.0
2008,SE,Comercial,393757.0
2008,SE,Industrial,1381043.0
2008,SE,Outros,504033.0
2008,SE,Residencial,651111.0
2008,SE,Total,2929944.0
2008,SP,Cativo,85611456.0
2008,SP,Comercial,20744417.0
2008,SP,Industrial,54032831.0
2008,SP,Outros,12881594.0
2008,SP,Residencial,31300993.0
2008,SP,Total,118959835.0
2008,TO,Cativo,1136257.0
2008,TO,Comercial,238074.0
2008,TO,Industrial,140691.0
2008,TO,Outros,350260.0
2008,TO,Residencial,407232.0
2008,TO,Total,1136257.0
2009,AC,Cativo,618982.0
2009,AC,Comercial,130739.0
2009,AC,Industrial,33012.0
2009,AC,Outros,185480.0
2009,AC,Residencial,272035.0
2009,AC,Total,621266.0
2009,AL,Cativo,3618839.0
2009,AL,Comercial,487158.0
2009,AL,Industrial,1777849.0
2009,AL,Outros,662806.0
2009,AL,Residencial,854277.0
2009,AL,Total,3782090.0
2009,AM,Cativo,4361756.0
2009,AM,Comercial,854976.0
2009,AM,Industrial,1480710.0
2009,AM,Outros,828382.0
2009,AM,Residencial,1197688.0
2009,AM,Total,4361756.0
2009,AP,Cativo,708257.0
2009,AP,Comercial,158423.0
2009,AP,Industrial,37809.0
2009,AP,Outros,167589.0
2009,AP,Residencial,344436.0
2009,AP,Total,708257.0
2009,BA,Cativo,19245979.0
2009,BA,Comercial,2634866.0
2009,BA,Industrial,9472812.0
2009,BA,Outros,3090278.0
2009,BA,Residencial,4652182.0
2009,BA,Total,19850138.0
2009,CE,Cativo,7283215.0
2009,CE,Comercial,1510506.0
2009,CE,Industrial,2072258.0
2009,CE,Outros,1727154.0
2009,CE,Residencial,2607764.0
2009,CE,Total,7917682.0
2009,DF,Cativo,5038479.0
2009,DF,Comercial,1537660.0
2009,DF,Industrial,580316.0
2009,DF,Outros,1248762.0
2009,DF,Residencial,1878995.0
2009,DF,Total,5245733.0
2009,ES,Cativo,5264172.0
