ano,uf,consumo_energia,soma_produto_interno_bruto,soma_produto_interno_bruto_per_capita,sigla_uf,highest_tipo_consumo
2018,AP,2107356.43,16795207.0,300748.36,AP,Residencial
2018,BA,41699433.33,286239537.0,5321390.119999999,BA,Industrial
2018,CE,20842490.72,155903825.0,2011041.96,CE,Residencial
2018,DF,11805562.28,254817205.0,85661.39,DF,Residencial
2018,ES,16507286.0,137020055.0,2337565.2600000007,ES,Industrial
2018,GO,27147207.0,195681726.0,6952070.119999998,GO,Industrial
2018,MA,12946613.03,98179501.0,2219525.960000002,MA,Residencial
2018,MG,83553533.261,614875822.0,17054184.51999999,MG,Industrial
2018,MS,10394088.681,106969143.0,3374706.059999999,MS,Residencial
2018,MT,15975291.64,137442863.0,5391818.490000003,MT,Residencial
2018,PA,25685569.99,161349601.0,2434374.34,PA,Industrial
2018,PB,9634295.73,64373599.0,2355451.21,PB,Residencial
2018,PE,25003579.25,186351982.0,2334853.6200000006,PE,Residencial
2018,PI,6730408.85,50378414.0,2501504.64,PI,Residencial
2018,PR,52200738.079,440029414.0,12867013.869999992,PR,Industrial
2018,RJ,68524368.14,758859047.0,3442166.6899999995,RJ,Residencial
2018,RN,10359341.0,66969551.0,2472830.480000002,RN,Residencial
2018,RO,6125804.03,44913978.0,1165079.81,RO,Residencial
2018,RR,1890876.93,13369988.0,257881.44999999995,RR,Residencial
2018,RS,52875948.79,457293960.0,18778602.24000002,RS,Industrial
2018,SC,40948475.22,298227085.0,9905165.090000004,SC,Industrial
2018,SE,6446245.66,42017982.0,1039644.36,SE,Industrial
2018,SP,217030023.8,2210561953.0,21205354.56000001,SP,Industrial
2018,TO,4404286.78,35666181.0,2636378.9799999995,TO,Residencial
2019,AC,2122438.94,15630018.0,303250.33,AC,Residencial
2019,AL,7336469.9,58963730.0,1484779.7,AL,Residencial
2019,AM,10769605.0,108181093.0,722311.0299999997,AM,Residencial
2019,AP,2148411.48,17496662.0,301889.47000000003,AP,Residencial
2019,BA,43170147.71,293240507.0,5504612.260000005,BA,Industrial
2019,CE,22211065.59,163575327.0,2137544.840000001,CE,Residencial
